"","x"
"1",-5507.96907501218
"2",-5501.55118713639
"3",-5483.20540003265
"4",-5493.71631589396
"5",-5471.15241251555
"6",-5442.8393479552
"7",-5389.41453446315
"8",-5299.94044818795
"9",-5192.09534860796
"10",-5060.07548454462
"11",-4912.47920701469
"12",-4752.18220795264
"13",-4581.28500059694
"14",-4444.23399706233
"15",-4328.02076795627
"16",-4248.28388912912
"17",-4183.07952092143
"18",-4140.65602681847
"19",-4105.80435952338
"20",-4080.55812108714
"21",-4061.59117139369
"22",-4046.18531260742
"23",-4033.32730759876
"24",-4022.71715944032
"25",-4013.78746943687
"26",-4000.49981233672
"27",-3977.51382222598
"28",-3935.97582528435
"29",-3906.00668387217
"30",-3897.32522957953
"31",-3888.44389733876
"32",-3873.32195580751
"33",-3850.81291070554
"34",-3831.86112628521
"35",-3826.3375790479
"36",-3821.60535335956
"37",-3817.6001761357
"38",-3813.77811667289
"39",-3810.34048315196
"40",-3806.54429776755
"41",-3801.82937259908
