"","x"
"1",-5500.53704335863
"2",-5494.06612889879
"3",-5498.23930337405
"4",-5488.78960638935
"5",-5476.39754762682
"6",-5446.37911770567
"7",-5387.15577406635
"8",-5302.75351213445
"9",-5181.00755537304
"10",-5053.33267146827
"11",-4909.60839681263
"12",-4754.34584971844
"13",-4576.12341549658
"14",-4449.41814679023
"15",-4333.97729096148
"16",-4251.21880319218
"17",-4189.6804371498
"18",-4145.59504826341
"19",-4109.35935821315
"20",-4083.16796614098
"21",-4063.22043734304
"22",-4046.57413228324
"23",-4033.17843566944
"24",-4022.82492954803
"25",-4013.78679045867
"26",-3998.11239234557
"27",-3968.22352600884
"28",-3933.54415533201
"29",-3905.28754449266
"30",-3897.10996780417
"31",-3886.90761936135
"32",-3864.20824364377
"33",-3850.21842848193
"34",-3831.93555608885
"35",-3826.4209859483
"36",-3821.90482607918
"37",-3817.6685081146
"38",-3814.10561825089
"39",-3811.01043104759
"40",-3808.20035248371
"41",-3805.27132797243
